iter	MultiClass
0	1.094231657
1	1.08923091
2	1.083952788
3	1.079285268
4	1.075679333
5	1.071157165
6	1.066883001
7	1.063471298
8	1.05940362
9	1.054451166
10	1.050729977
11	1.047084093
12	1.042339525
13	1.03777645
14	1.033807103
15	1.029713813
16	1.025233841
17	1.021283716
18	1.01703079
19	1.013845659
20	1.010109159
21	1.005689032
22	1.001300243
23	0.9982795866
24	0.9935903028
25	0.9899961908
26	0.9863519761
27	0.9823685977
28	0.9793309677
29	0.9755731392
30	0.9715362845
31	0.9670915547
32	0.9639710468
33	0.9604066348
34	0.957641642
35	0.9541791794
36	0.9509791051
37	0.947616803
38	0.9443417986
39	0.9413525139
40	0.9377947021
41	0.9345221578
42	0.9316995724
43	0.9295373557
44	0.9263559043
45	0.9224075323
46	0.9198867119
47	0.9169143957
48	0.9134373144
49	0.9102723646
50	0.9077319685
51	0.9054736342
52	0.9032025765
53	0.9013332784
54	0.8982990781
55	0.8948202605
56	0.8921812733
57	0.8892707253
58	0.8869866317
59	0.8843046449
60	0.8827877751
61	0.8805564219
62	0.8773745669
63	0.8749468913
64	0.8718710216
65	0.8700301564
66	0.8671206164
67	0.865348093
68	0.8630717791
69	0.8608993531
70	0.858450025
71	0.8558365392
72	0.8535488171
73	0.8514236353
74	0.8488475768
75	0.8466567313
76	0.8441426103
77	0.8420754658
78	0.8400776499
79	0.8377151527
80	0.8356199901
81	0.8333913301
82	0.8308030299
83	0.8289007599
84	0.826911115
85	0.8247121873
86	0.8223535238
87	0.820248966
88	0.8181131959
89	0.8157004816
90	0.8139000813
91	0.8117780208
92	0.8097209886
93	0.8078125895
94	0.8062484252
95	0.8042391301
96	0.8020093344
97	0.7997759473
98	0.7971225044
99	0.7957152259
100	0.7940911862
101	0.792340046
102	0.7905854252
103	0.789072893
104	0.7873626285
105	0.7852351113
106	0.7839071646
107	0.7818305125
108	0.7805434028
109	0.7788547318
110	0.7771035697
111	0.7752776794
112	0.7732368685
113	0.7707071954
114	0.7691132654
115	0.7676890467
116	0.7653189956
117	0.7636953299
118	0.7619376249
119	0.7600308346
120	0.7586621511
121	0.7570104116
122	0.7552056914
123	0.7533190907
124	0.752262492
125	0.7509261474
126	0.7491095416
127	0.7465835692
128	0.7446119473
129	0.7425792851
130	0.7413207977
131	0.739837851
132	0.7382546603
133	0.7364592736
134	0.7350393846
135	0.7332670085
136	0.7323935621
137	0.7311484124
138	0.7293739529
139	0.7282717901
140	0.7269788598
141	0.7256976732
142	0.7243504303
143	0.7228666052
144	0.7210638662
145	0.7196401195
146	0.7182233038
147	0.7163866563
148	0.7147978709
149	0.7132532473
150	0.712251017
151	0.7104339375
152	0.7093344785
153	0.7083401171
154	0.706620225
155	0.705414712
156	0.7039282484
157	0.702373342
158	0.7011786788
159	0.699281782
160	0.6978444752
161	0.6967547743
162	0.6954167937
163	0.6938275496
164	0.6927398796
165	0.6915099814
166	0.6902972337
167	0.6889459394
168	0.6877492464
169	0.685997066
170	0.6847755321
171	0.6835818834
172	0.6823115649
173	0.6804745309
174	0.6792307555
175	0.678151435
176	0.6772087808
177	0.6759736306
178	0.6745869451
179	0.673547226
180	0.672232729
181	0.6712540123
182	0.6699628642
183	0.6683706807
184	0.667504049
185	0.666073531
186	0.6647045684
187	0.6634086846
188	0.6620799163
189	0.6610980943
190	0.6600165642
191	0.6588317816
192	0.6576612915
193	0.6563957093
194	0.6556372736
195	0.6541254939
196	0.6528106795
197	0.6517626417
198	0.6506995398
199	0.6497249699
200	0.6488118186
201	0.6479794368
202	0.6465830512
203	0.6458657309
204	0.6447915015
205	0.64369862
206	0.6429156691
207	0.6412854474
208	0.6398281706
209	0.6388447787
210	0.6380401911
211	0.636759534
212	0.6358785879
213	0.6348186543
214	0.6340016459
215	0.633090327
216	0.6322026541
217	0.6311113655
218	0.6299253486
219	0.6292422006
220	0.6285311704
221	0.6276289549
222	0.6266206804
223	0.62542104
224	0.6244827557
225	0.6231668811
226	0.6221242828
227	0.6212703305
228	0.619786631
229	0.6186013182
230	0.6176048455
231	0.616788134
232	0.6154293604
233	0.6139885491
234	0.6127885535
235	0.6117058878
236	0.610647447
237	0.6095803481
238	0.6086212702
239	0.6077441366
240	0.6067710547
241	0.6057660294
242	0.6046828907
243	0.6038556552
244	0.6027324015
245	0.6018273992
246	0.6010045142
247	0.6000813407
248	0.5995588133
249	0.5983372694
250	0.5974421602
251	0.5965834096
252	0.5955489218
253	0.5944575802
254	0.5935937205
255	0.5926279725
256	0.5916310575
257	0.5907168728
258	0.5893034907
259	0.5884038191
260	0.5875696444
261	0.5866822433
262	0.5858836715
263	0.5852123602
264	0.5841327047
265	0.5827122148
266	0.5813874688
267	0.5804905284
268	0.5794777171
269	0.5785230078
270	0.5774046056
271	0.5765728043
272	0.5758485007
273	0.574988648
274	0.5739919273
275	0.5729885185
276	0.5722830537
277	0.5717374466
278	0.5710361787
279	0.5701648435
280	0.5689875674
281	0.5679572498
282	0.5671106524
283	0.5662423615
284	0.5656030825
285	0.5649439056
286	0.5643165132
287	0.5637490655
288	0.5627065286
289	0.5615582751
290	0.5608316126
291	0.5598513528
292	0.5593780118
293	0.5587476387
294	0.5578795213
295	0.556984698
296	0.5558041697
297	0.5549417338
298	0.5543827914
299	0.5532730164
300	0.5523789728
301	0.5516141283
302	0.5507295871
303	0.5501556044
304	0.5493739647
305	0.5486777887
306	0.5480236942
307	0.547230887
308	0.5461174221
309	0.5449776429
310	0.5445158168
311	0.5435366652
312	0.542765551
313	0.5418985451
314	0.5412256999
315	0.5403700545
316	0.5393530262
317	0.5382178002
318	0.5376142453
319	0.5369729464
320	0.5361849334
321	0.5356322367
322	0.5346095865
323	0.5336472364
324	0.5327047859
325	0.5319884011
326	0.5312575214
327	0.5303468638
328	0.5298275686
329	0.528888796
330	0.5281617074
331	0.5273818394
332	0.526905627
333	0.5262452967
334	0.5251897031
335	0.5247377414
336	0.5242171727
337	0.5234210903
338	0.5226012202
339	0.5220716863
340	0.5213719482
341	0.5203238153
342	0.5196072725
343	0.518950493
344	0.5182302902
345	0.5174069463
346	0.516587165
347	0.5159094129
348	0.5150616744
349	0.513905766
350	0.5134207968
351	0.5129323362
352	0.5121495262
353	0.5114750737
354	0.5108312041
355	0.5100998524
356	0.5093516745
357	0.5087426116
358	0.5081315563
359	0.5074482251
360	0.5066716804
361	0.5059219434
362	0.5049565892
363	0.5042136489
364	0.5036671991
365	0.5029099821
366	0.5024126036
367	0.5014733244
368	0.5006394635
369	0.500146668
370	0.4997576941
371	0.4991172437
372	0.4984013029
373	0.4974416852
374	0.4967195887
375	0.4958373384
376	0.4952515892
377	0.4944556214
378	0.4937415333
379	0.4931872983
380	0.49251265
381	0.491978171
382	0.4910617517
383	0.4903700138
384	0.4896565276
385	0.488981878
386	0.4883094016
387	0.4876750489
388	0.4872696995
389	0.4866371507
390	0.4859755032
391	0.4853438601
392	0.4844917138
393	0.4840459004
394	0.4832875088
395	0.4826142558
396	0.4819970696
397	0.4812234488
398	0.4803987343
399	0.4795489736
400	0.4787693228
401	0.4779957948
402	0.4774003412
403	0.4768561299
404	0.4763396367
405	0.4755835734
406	0.4748907052
407	0.4741175498
408	0.4736431322
409	0.4729589502
410	0.4722126846
411	0.4715453065
412	0.4707649254
413	0.4701438947
414	0.4694261075
415	0.4688064464
416	0.4680511555
417	0.467473938
418	0.4668499639
419	0.4659481929
420	0.4654022786
421	0.4646792461
422	0.4639273779
423	0.463324016
424	0.4626944653
425	0.4620277873
426	0.4613443973
427	0.4601648747
428	0.4594669636
429	0.4586814498
430	0.45780286
431	0.4572234829
432	0.4566243975
433	0.4559719195
434	0.4551070761
435	0.4546516066
436	0.4539029486
437	0.4532476501
438	0.4527084833
439	0.4521401057
440	0.4515188035
441	0.4506930342
442	0.4502399801
443	0.449377458
444	0.4488279175
445	0.4481957701
446	0.4477120173
447	0.4473296738
448	0.4464208992
449	0.4459407937
450	0.445360175
451	0.444806595
452	0.4442530405
453	0.4436417968
454	0.4429739538
455	0.4423325932
456	0.4417044134
457	0.4408308291
458	0.4402293311
459	0.4395397075
460	0.4389281111
461	0.4383018926
462	0.4376459131
463	0.4370003874
464	0.4364365439
465	0.4359066571
466	0.4354383507
467	0.4349288683
468	0.4343170975
469	0.4337163171
470	0.4329499596
471	0.4324785577
472	0.4319494644
473	0.4310119173
474	0.4302059763
475	0.4296078791
476	0.4287810443
477	0.4283162352
478	0.4278396155
479	0.4272100908
480	0.4265877338
481	0.4261454796
482	0.4253175372
